Rock,Type
Andesite,Igneous
Anorthosite,Igneous
Anthracite,Metamorphic
Aplite,Igneous
Basalt,Igneous
Breccia,Sedimentary
Caliche,Sedimentary
Chalk,Sedimentary
Chert,Sedimentary
Clay,Sedimentary
Coal,Sedimentary
Conglomerate,Sedimentary
Coquine,Sedimentary
Dacite,Igneous
Diatomite,Sedimentary
Diorite,Igneous
Dolerite,Igneous
Dolomites,Sedimentary
Dolomitic limestone,Sedimentary
Dunite,Igneous
Essexite,Igneous
Flint,Sedimentary
Fossiliferous limestone,Sedimentary
Gabbro,Igneous
Gneiss,Metamorphic
Granite,Igneous
Granodiorite,Igneous
Gypsum,Sedimentary
Hornfels,Metamorphic
Ignimbrite,Igneous
Iron ore,Sedimentary
Komatiite,Igneous
Lapis lazuli,Metamorphic
Limestone,Sedimentary
Marble,Metamorphic
Mariposite,Metamorphic
Norite,Igneous
Novaculite,Metamorphic
Obsidian,Igneous
Olivine-basalt,Igneous
Oolitic limestone,Sedimentary
Pegmatite,Igneous
Phonolite,Igneous
Phyllite,Metamorphic
Pillow,Igneous
Pumice,Igneous
Quartzite,Metamorphic
Rhyolite,Igneous
Sandstone,Sedimentary
Schists,Metamorphic
Serpentine,Metamorphic
Shale-(mudstone),Sedimentary
Siliceous-sinter,Sedimentary
Siltstone,Sedimentary
Skarn,Metamorphic
Slate,Metamorphic
Syenite,Igneous
Tephrite,Igneous
Trachyte,Igneous
Tufa,Sedimentary
Tuff,Igneous
Volcanic bombs,Igneous
